id,gender,age,goal,attr,sinc,intel,fun,amb,like
1,0,21.0,2.0,5.7,7.3,7.3,6.8,6.3,6.5
2,0,24.0,1.0,6.4,7.0,7.7,6.1,6.5,6.6
3,0,25.0,6.0,8.1,8.6,9.4,7.7,8.8,8.2
4,0,23.0,1.0,6.4,8.9,8.6,7.8,7.8,6.6
5,0,21.0,2.0,6.3,6.0,7.0,6.0,5.6,7.2
6,0,23.0,1.0,5.9,7.3,8.0,6.0,5.2,6.5
7,0,22.0,1.0,5.4,6.9,7.7,5.8,7.6,6.5
8,0,25.0,1.0,6.4,7.2,7.1,6.0,6.7,6.0
9,0,26.0,1.0,7.3,8.6,8.3,7.4,6.8,7.0
10,0,26.0,2.0,6.1,8.2,7.5,6.7,6.7,6.6
11,1,27.0,1.0,6.8,7.8,7.2,7.6,7.1,6.4
12,1,22.0,1.0,6.2,6.7,9.1,5.9,5.7,6.9
13,1,22.0,2.0,7.354838709677419,8.096774193548388,8.419354838709678,8.064516129032258,7.903225806451613,7.806451612903226
14,1,23.0,2.0,7.2,8.1,7.8,8.2,8.7,7.5
15,1,24.0,1.0,7.6,8.5,8.8,7.5,8.25,7.7
16,1,25.0,1.0,6.666666666666667,7.0,7.2,6.9,7.1,6.4
17,1,30.0,3.0,5.6,5.0,5.4,4.5,5.4,4.0
18,1,27.0,1.0,6.4,6.6,6.7,6.3,6.6,6.7
19,1,28.0,4.0,7.0,7.0,7.6,8.3,7.6,7.25
20,1,24.0,1.0,6.0,7.3,7.5,6.5,7.9,6.2
21,0,21.0,6.0,6.0625,7.6875,7.625,6.125,7.375,6.5
22,0,27.0,1.0,5.3125,6.5625,6.75,5.6875,6.3125,5.0625
23,0,21.0,1.0,6.0,6.6,6.533333333333333,6.333333333333333,6.066666666666666,6.833333333333333
24,0,27.0,2.0,6.375,7.384615384615385,7.444444444444445,7.416666666666667,7.7,7.0625
25,0,25.0,1.0,6.125,7.1875,8.3125,6.625,8.8125,6.6875
26,0,23.0,1.0,4.0625,6.375,6.125,4.4375,5.875,4.1875
27,0,22.0,1.0,2.9375,4.8125,5.75,3.8125,4.9375,2.5
29,0,22.0,1.0,6.3125,7.1875,6.5625,5.0625,6.2,6.1875
30,0,23.0,1.0,5.6875,6.625,6.8125,5.75,6.6875,7.0625
31,0,24.0,1.0,5.3125,6.25,6.625,5.5625,6.375,6.066666666666666
32,0,27.0,1.0,6.25,7.4375,7.8125,7.357142857142857,7.733333333333333,6.375
33,0,30.0,6.0,6.1875,6.875,6.8125,5.4375,6.875,5.8125
34,0,21.0,1.0,4.5,4.6875,5.6875,4.5625,5.5625,5.0625
35,0,25.0,1.0,6.4375,7.9375,8.1875,7.625,7.4375,7.3125
36,0,26.0,2.0,2.9375,3.5,4.6875,2.9375,4.9375,3.375
37,0,27.0,2.0,5.0625,5.0,6.4375,5.375,5.0625,4.625
38,0,23.0,1.0,5.6875,7.5,8.375,5.625,7.4375,5.8125
39,0,24.0,5.0,5.25,6.5,8.0625,6.375,6.9375,5.71875
40,1,25.0,2.0,6.052631578947368,8.0,7.578947368421052,7.315789473684211,6.526315789473684,3.210526315789474
41,1,30.0,2.0,7.105263157894737,6.842105263157895,7.105263157894737,7.105263157894737,6.842105263157895,6.428571428571429
42,1,23.0,2.0,5.368421052631579,8.421052631578947,8.105263157894736,6.684210526315789,7.684210526315789,5.631578947368421
43,1,24.0,6.0,5.0,5.2631578947368425,6.105263157894737,4.526315789473684,5.578947368421052,5.157894736842105
44,1,24.0,1.0,6.25,6.3,6.925,6.230769230769231,6.675,6.7
45,1,28.0,2.0,7.0,6.894736842105263,6.894736842105263,6.578947368421052,6.526315789473684,6.842105263157895
46,1,26.0,2.0,7.157894736842105,7.7368421052631575,7.684210526315789,7.7894736842105265,7.7894736842105265,7.7631578947368425
47,1,30.0,1.0,5.9411764705882355,5.7894736842105265,6.2631578947368425,5.2105263157894735,6.052631578947368,5.7368421052631575
48,1,22.0,1.0,5.842105263157895,7.105263157894737,6.631578947368421,5.842105263157895,5.9,5.631578947368421
49,1,25.0,1.0,7.473684210526316,7.631578947368421,7.526315789473684,6.7368421052631575,6.947368421052632,7.105263157894737
50,1,27.0,6.0,6.5,7.833333333333333,7.666666666666667,7.285714285714286,8.25,7.305555555555555
51,1,23.0,1.0,5.2105263157894735,6.105263157894737,6.684210526315789,4.315789473684211,4.684210526315789,5.421052631578948
52,1,21.0,1.0,6.2105263157894735,6.7368421052631575,6.894736842105263,6.2105263157894735,6.0,5.631578947368421
53,1,28.0,2.0,7.157894736842105,8.157894736842104,8.263157894736842,7.526315789473684,8.105263157894736,7.157894736842105
54,1,28.0,5.0,6.631578947368421,7.894736842105263,7.631578947368421,7.2631578947368425,7.368421052631579,6.631578947368421
55,1,23.0,6.0,6.947368421052632,8.789473684210526,9.263157894736842,8.631578947368421,9.052631578947368,8.263157894736842
56,0,23.0,1.0,3.3,8.9,7.1,4.9,6.9,4.4
57,0,22.0,3.0,8.6,8.5,9.0,8.7,8.6,8.1
59,0,29.0,4.0,6.6,8.4,9.7,5.1,5.4,5.8
60,0,28.0,1.0,6.2,7.3,7.5,7.9,7.9,5.8
61,0,26.0,2.0,6.9,7.6,7.7,6.9,7.7,7.0
62,0,24.0,3.0,4.2,6.9,6.6,4.8,5.9,4.6
63,0,27.0,2.0,6.1,6.2,7.2,5.4,6.2,5.7
64,0,23.0,2.0,6.4,7.1,7.2,6.8,7.3,5.8
65,1,29.0,2.0,5.1,7.0,7.125,6.5,6.777777777777778,5.888888888888889
66,1,22.0,6.0,5.875,7.125,6.75,6.875,6.25,5.75
67,1,27.0,5.0,5.0,6.1,5.8,5.1,5.1,5.3
68,1,28.0,6.0,4.4,6.6,6.6,5.3,6.111111111111111,4.5
